"","Resultado_partida","P_time1","P_time2","NV_time1","NV_time2","NE_time1","NE_time2","ND_time1","ND_time2","NVC_time1","NEC_time1","NDC_time1","NVF_time1","NEF_time1","NDF_time1","NVC_time2","NEC_time2","NDC_time2","NVF_time2","NEF_time2","NDF_time2","GF_time1","GF_time2","GC_time1","GC_time2","SG_time1","SG_time2"
"16",0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,6,0,-4,2
"17",1,0,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,-4,1
"18",0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
"19",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4,1,-3,0
"20",2,1,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,1,0,0,4
"21",2,3,3,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,2,7,2,4,0,3
"22",2,3,6,1,2,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2,5,5,3,-3,2
"23",0,3,4,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,3,2,3,1,0,1
"24",2,3,3,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,2,4,1,1,1,3
"25",1,1,3,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,2,4,3,2,-1,2
"26",1,0,4,0,1,0,1,2,0,0,0,1,0,0,1,0,1,0,1,0,0,2,4,8,1,-6,3
"27",2,1,6,0,2,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,4,5,0,-4,4
"28",0,1,3,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,4,1,2,-1,2
"29",0,0,4,0,1,0,1,2,0,0,0,1,0,0,1,0,1,0,1,0,0,1,2,7,1,-6,1
"30",2,4,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,2,0,1,2,1,-2
"31",2,6,1,2,0,0,1,1,2,1,0,0,1,0,1,0,0,2,0,1,0,7,0,6,2,1,-2
"32",1,5,6,1,2,2,0,0,1,0,1,0,1,1,0,2,0,0,0,0,1,5,3,2,2,3,1
"33",1,3,2,1,0,0,2,2,1,1,0,0,0,0,2,0,1,1,0,1,0,4,4,3,5,1,-1
"34",2,7,3,2,1,1,0,0,2,0,1,0,2,0,0,1,0,1,0,0,1,3,3,1,4,2,-1
"35",0,7,7,2,2,1,1,0,0,1,0,0,1,1,0,2,0,0,0,1,0,3,4,1,1,2,3
